sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	laugh	simple-agrmt	the author laughs	3
2	unexpected	1	1	laugh	simple-agrmt	the author laugh	3
3	expected	2	2	swim	simple-agrmt	the author swims	3
4	unexpected	2	2	swim	simple-agrmt	the author swim	3
5	expected	3	3	smile	simple-agrmt	the author smiles	3
6	unexpected	3	3	smile	simple-agrmt	the author smile	3
7	expected	4	4	be	simple-agrmt	the author is tall	3
8	unexpected	4	4	be	simple-agrmt	the author are tall	3
9	expected	5	5	be	simple-agrmt	the author is old	3
10	unexpected	5	5	be	simple-agrmt	the author are old	3
11	expected	6	6	be	simple-agrmt	the author is young	3
12	unexpected	6	6	be	simple-agrmt	the author are young	3
13	expected	7	7	be	simple-agrmt	the author is short	3
14	unexpected	7	7	be	simple-agrmt	the author are short	3
15	expected	8	8	laugh	simple-agrmt	the pilot laughs	3
16	unexpected	8	8	laugh	simple-agrmt	the pilot laugh	3
17	expected	9	9	swim	simple-agrmt	the pilot swims	3
18	unexpected	9	9	swim	simple-agrmt	the pilot swim	3
19	expected	10	10	smile	simple-agrmt	the pilot smiles	3
20	unexpected	10	10	smile	simple-agrmt	the pilot smile	3
21	expected	11	11	be	simple-agrmt	the pilot is tall	3
22	unexpected	11	11	be	simple-agrmt	the pilot are tall	3
23	expected	12	12	be	simple-agrmt	the pilot is old	3
24	unexpected	12	12	be	simple-agrmt	the pilot are old	3
25	expected	13	13	be	simple-agrmt	the pilot is young	3
26	unexpected	13	13	be	simple-agrmt	the pilot are young	3
27	expected	14	14	be	simple-agrmt	the pilot is short	3
28	unexpected	14	14	be	simple-agrmt	the pilot are short	3
29	expected	15	15	laugh	simple-agrmt	the surgeon laughs	3
30	unexpected	15	15	laugh	simple-agrmt	the surgeon laugh	3
31	expected	16	16	swim	simple-agrmt	the surgeon swims	3
32	unexpected	16	16	swim	simple-agrmt	the surgeon swim	3
33	expected	17	17	smile	simple-agrmt	the surgeon smiles	3
34	unexpected	17	17	smile	simple-agrmt	the surgeon smile	3
35	expected	18	18	be	simple-agrmt	the surgeon is tall	3
36	unexpected	18	18	be	simple-agrmt	the surgeon are tall	3
37	expected	19	19	be	simple-agrmt	the surgeon is old	3
38	unexpected	19	19	be	simple-agrmt	the surgeon are old	3
39	expected	20	20	be	simple-agrmt	the surgeon is young	3
40	unexpected	20	20	be	simple-agrmt	the surgeon are young	3
41	expected	21	21	be	simple-agrmt	the surgeon is short	3
42	unexpected	21	21	be	simple-agrmt	the surgeon are short	3
43	expected	22	22	laugh	simple-agrmt	the farmer laughs	3
44	unexpected	22	22	laugh	simple-agrmt	the farmer laugh	3
45	expected	23	23	swim	simple-agrmt	the farmer swims	3
46	unexpected	23	23	swim	simple-agrmt	the farmer swim	3
47	expected	24	24	smile	simple-agrmt	the farmer smiles	3
48	unexpected	24	24	smile	simple-agrmt	the farmer smile	3
49	expected	25	25	be	simple-agrmt	the farmer is tall	3
50	unexpected	25	25	be	simple-agrmt	the farmer are tall	3
51	expected	26	26	be	simple-agrmt	the farmer is old	3
52	unexpected	26	26	be	simple-agrmt	the farmer are old	3
53	expected	27	27	be	simple-agrmt	the farmer is young	3
54	unexpected	27	27	be	simple-agrmt	the farmer are young	3
55	expected	28	28	be	simple-agrmt	the farmer is short	3
56	unexpected	28	28	be	simple-agrmt	the farmer are short	3
57	expected	29	29	laugh	simple-agrmt	the manager laughs	3
58	unexpected	29	29	laugh	simple-agrmt	the manager laugh	3
59	expected	30	30	swim	simple-agrmt	the manager swims	3
60	unexpected	30	30	swim	simple-agrmt	the manager swim	3
61	expected	31	31	smile	simple-agrmt	the manager smiles	3
62	unexpected	31	31	smile	simple-agrmt	the manager smile	3
63	expected	32	32	be	simple-agrmt	the manager is tall	3
64	unexpected	32	32	be	simple-agrmt	the manager are tall	3
65	expected	33	33	be	simple-agrmt	the manager is old	3
66	unexpected	33	33	be	simple-agrmt	the manager are old	3
67	expected	34	34	be	simple-agrmt	the manager is young	3
68	unexpected	34	34	be	simple-agrmt	the manager are young	3
69	expected	35	35	be	simple-agrmt	the manager is short	3
70	unexpected	35	35	be	simple-agrmt	the manager are short	3
71	expected	36	36	laugh	simple-agrmt	the customer laughs	3
72	unexpected	36	36	laugh	simple-agrmt	the customer laugh	3
73	expected	37	37	swim	simple-agrmt	the customer swims	3
74	unexpected	37	37	swim	simple-agrmt	the customer swim	3
75	expected	38	38	smile	simple-agrmt	the customer smiles	3
76	unexpected	38	38	smile	simple-agrmt	the customer smile	3
77	expected	39	39	be	simple-agrmt	the customer is tall	3
78	unexpected	39	39	be	simple-agrmt	the customer are tall	3
79	expected	40	40	be	simple-agrmt	the customer is old	3
80	unexpected	40	40	be	simple-agrmt	the customer are old	3
81	expected	41	41	be	simple-agrmt	the customer is young	3
82	unexpected	41	41	be	simple-agrmt	the customer are young	3
83	expected	42	42	be	simple-agrmt	the customer is short	3
84	unexpected	42	42	be	simple-agrmt	the customer are short	3
85	expected	43	43	laugh	simple-agrmt	the officer laughs	3
86	unexpected	43	43	laugh	simple-agrmt	the officer laugh	3
87	expected	44	44	swim	simple-agrmt	the officer swims	3
88	unexpected	44	44	swim	simple-agrmt	the officer swim	3
89	expected	45	45	smile	simple-agrmt	the officer smiles	3
90	unexpected	45	45	smile	simple-agrmt	the officer smile	3
91	expected	46	46	be	simple-agrmt	the officer is tall	3
92	unexpected	46	46	be	simple-agrmt	the officer are tall	3
93	expected	47	47	be	simple-agrmt	the officer is old	3
94	unexpected	47	47	be	simple-agrmt	the officer are old	3
95	expected	48	48	be	simple-agrmt	the officer is young	3
96	unexpected	48	48	be	simple-agrmt	the officer are young	3
97	expected	49	49	be	simple-agrmt	the officer is short	3
98	unexpected	49	49	be	simple-agrmt	the officer are short	3
99	expected	50	50	laugh	simple-agrmt	the teacher laughs	3
100	unexpected	50	50	laugh	simple-agrmt	the teacher laugh	3
101	expected	51	51	swim	simple-agrmt	the teacher swims	3
102	unexpected	51	51	swim	simple-agrmt	the teacher swim	3
103	expected	52	52	smile	simple-agrmt	the teacher smiles	3
104	unexpected	52	52	smile	simple-agrmt	the teacher smile	3
105	expected	53	53	be	simple-agrmt	the teacher is tall	3
106	unexpected	53	53	be	simple-agrmt	the teacher are tall	3
107	expected	54	54	be	simple-agrmt	the teacher is old	3
