sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	laugh	in-a-sentential-complement	the mechanic said the authors laugh	6
2	unexpected	1	1	laugh	in-a-sentential-complement	the mechanic said the authors laughs	6
3	expected	2	2	swim	in-a-sentential-complement	the mechanic said the authors swim	6
4	unexpected	2	2	swim	in-a-sentential-complement	the mechanic said the authors swims	6
5	expected	3	3	smile	in-a-sentential-complement	the mechanic said the authors smile	6
6	unexpected	3	3	smile	in-a-sentential-complement	the mechanic said the authors smiles	6
7	expected	4	4	be	in-a-sentential-complement	the mechanic said the authors are tall	6
8	unexpected	4	4	be	in-a-sentential-complement	the mechanic said the authors is tall	6
9	expected	5	5	be	in-a-sentential-complement	the mechanic said the authors are old	6
10	unexpected	5	5	be	in-a-sentential-complement	the mechanic said the authors is old	6
11	expected	6	6	be	in-a-sentential-complement	the mechanic said the authors are young	6
12	unexpected	6	6	be	in-a-sentential-complement	the mechanic said the authors is young	6
13	expected	7	7	be	in-a-sentential-complement	the mechanic said the authors are short	6
14	unexpected	7	7	be	in-a-sentential-complement	the mechanic said the authors is short	6
15	expected	8	8	laugh	in-a-sentential-complement	the mechanic said the pilots laugh	6
16	unexpected	8	8	laugh	in-a-sentential-complement	the mechanic said the pilots laughs	6
17	expected	9	9	swim	in-a-sentential-complement	the mechanic said the pilots swim	6
18	unexpected	9	9	swim	in-a-sentential-complement	the mechanic said the pilots swims	6
19	expected	10	10	smile	in-a-sentential-complement	the mechanic said the pilots smile	6
20	unexpected	10	10	smile	in-a-sentential-complement	the mechanic said the pilots smiles	6
21	expected	11	11	be	in-a-sentential-complement	the mechanic said the pilots are tall	6
22	unexpected	11	11	be	in-a-sentential-complement	the mechanic said the pilots is tall	6
23	expected	12	12	be	in-a-sentential-complement	the mechanic said the pilots are old	6
24	unexpected	12	12	be	in-a-sentential-complement	the mechanic said the pilots is old	6
25	expected	13	13	be	in-a-sentential-complement	the mechanic said the pilots are young	6
26	unexpected	13	13	be	in-a-sentential-complement	the mechanic said the pilots is young	6
27	expected	14	14	be	in-a-sentential-complement	the mechanic said the pilots are short	6
28	unexpected	14	14	be	in-a-sentential-complement	the mechanic said the pilots is short	6
29	expected	15	15	laugh	in-a-sentential-complement	the mechanic said the surgeons laugh	6
30	unexpected	15	15	laugh	in-a-sentential-complement	the mechanic said the surgeons laughs	6
31	expected	16	16	swim	in-a-sentential-complement	the mechanic said the surgeons swim	6
32	unexpected	16	16	swim	in-a-sentential-complement	the mechanic said the surgeons swims	6
33	expected	17	17	smile	in-a-sentential-complement	the mechanic said the surgeons smile	6
34	unexpected	17	17	smile	in-a-sentential-complement	the mechanic said the surgeons smiles	6
35	expected	18	18	be	in-a-sentential-complement	the mechanic said the surgeons are tall	6
36	unexpected	18	18	be	in-a-sentential-complement	the mechanic said the surgeons is tall	6
37	expected	19	19	be	in-a-sentential-complement	the mechanic said the surgeons are old	6
38	unexpected	19	19	be	in-a-sentential-complement	the mechanic said the surgeons is old	6
39	expected	20	20	be	in-a-sentential-complement	the mechanic said the surgeons are young	6
40	unexpected	20	20	be	in-a-sentential-complement	the mechanic said the surgeons is young	6
41	expected	21	21	be	in-a-sentential-complement	the mechanic said the surgeons are short	6
42	unexpected	21	21	be	in-a-sentential-complement	the mechanic said the surgeons is short	6
43	expected	22	22	laugh	in-a-sentential-complement	the mechanic said the farmers laugh	6
44	unexpected	22	22	laugh	in-a-sentential-complement	the mechanic said the farmers laughs	6
45	expected	23	23	swim	in-a-sentential-complement	the mechanic said the farmers swim	6
46	unexpected	23	23	swim	in-a-sentential-complement	the mechanic said the farmers swims	6
47	expected	24	24	smile	in-a-sentential-complement	the mechanic said the farmers smile	6
48	unexpected	24	24	smile	in-a-sentential-complement	the mechanic said the farmers smiles	6
49	expected	25	25	be	in-a-sentential-complement	the mechanic said the farmers are tall	6
50	unexpected	25	25	be	in-a-sentential-complement	the mechanic said the farmers is tall	6
51	expected	26	26	be	in-a-sentential-complement	the mechanic said the farmers are old	6
52	unexpected	26	26	be	in-a-sentential-complement	the mechanic said the farmers is old	6
53	expected	27	27	be	in-a-sentential-complement	the mechanic said the farmers are young	6
54	unexpected	27	27	be	in-a-sentential-complement	the mechanic said the farmers is young	6
55	expected	28	28	be	in-a-sentential-complement	the mechanic said the farmers are short	6
56	unexpected	28	28	be	in-a-sentential-complement	the mechanic said the farmers is short	6
57	expected	29	29	laugh	in-a-sentential-complement	the mechanic said the managers laugh	6
58	unexpected	29	29	laugh	in-a-sentential-complement	the mechanic said the managers laughs	6
59	expected	30	30	swim	in-a-sentential-complement	the mechanic said the managers swim	6
60	unexpected	30	30	swim	in-a-sentential-complement	the mechanic said the managers swims	6
61	expected	31	31	smile	in-a-sentential-complement	the mechanic said the managers smile	6
62	unexpected	31	31	smile	in-a-sentential-complement	the mechanic said the managers smiles	6
63	expected	32	32	be	in-a-sentential-complement	the mechanic said the managers are tall	6
64	unexpected	32	32	be	in-a-sentential-complement	the mechanic said the managers is tall	6
65	expected	33	33	be	in-a-sentential-complement	the mechanic said the managers are old	6
66	unexpected	33	33	be	in-a-sentential-complement	the mechanic said the managers is old	6
67	expected	34	34	be	in-a-sentential-complement	the mechanic said the managers are young	6
